0	593
1	546
2	622
3	578
4	550
5	579
6	551
7	571
8	581
9	546
10	586
11	589
12	547
13	633
14	586
15	559
16	554
17	590
18	563
19	540
20	604
21	595
22	606
23	553
24	559
25	556
26	531
27	579
28	577
29	534
30	605
31	586
32	556
33	580
34	569
35	588
36	571
37	584
38	547
39	584
40	624
41	545
42	552
43	546
44	598
45	577
46	601
47	586
48	587
49	557
50	585
51	537
52	601
53	587
54	582
55	560
56	608
57	586
58	557
59	600
60	566
61	595
62	583
63	578
64	583
65	598
66	581
67	590
68	535
69	588
70	564
71	569
72	543
73	564
74	544
75	609
76	563
77	547
78	616
79	584
80	600
81	552
82	530
83	596
84	606
85	589
86	601
87	605
88	561
89	557
90	584
91	580
92	558
93	551
94	584
95	562
96	537
97	574
98	605
99	593
100	560
101	561
102	583
103	606
104	605
105	540
106	570
107	553
108	594
109	592
110	587
111	547
112	568
113	548
114	558
115	576
116	557
117	508
118	597
119	572
120	588
121	605
122	552
123	565
124	567
125	557
126	570
127	585
128	603
129	552
130	525
131	557
132	589
133	598
134	543
135	594
136	596
137	554
138	568
139	607
140	574
141	563
142	590
143	617
144	593
145	546
146	574
147	593
148	526
149	620
150	557
151	570
152	571
153	604
154	564
155	555
156	562
157	565
158	588
159	559
160	577
161	608
162	617
163	543
164	565
165	561
166	562
167	519
168	547
169	542
170	564
171	574
172	599
173	574
174	541
175	539
176	586
177	600
178	615
179	581
180	594
181	557
182	622
183	551
184	561
185	574
186	572
187	609
188	581
189	538
190	559
191	572
192	564
193	562
194	581
195	602
196	576
197	592
198	564
199	566
200	565
201	612
202	567
203	562
204	592
205	592
206	548
207	569
208	605
209	564
210	580
211	580
212	537
213	599
214	527
215	526
216	612
217	597
218	580
219	612
220	555
221	583
222	540
223	564
224	575
225	561
226	542
227	617
228	608
229	581
230	600
231	563
232	565
233	588
234	543
235	577
236	590
237	582
238	580
239	582
240	574
241	588
242	544
243	611
244	575
245	530
246	601
247	557
248	536
249	587
250	589
251	564
252	603
253	576
254	563
255	592
